Seite,Klicks,Impressionen,CTR,Position
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindefinanzen.html,247,3194,7.73%,7.83
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/tourismus.html,245,5635,4.35%,17.94
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_05_auslaendische_wohnbevoelkerung.pdf.spooler.download.1326986040345.pdf/si_2003_05_auslaendische_wohnbevoelkerung.pdf,239,4556,5.25%,9.62
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/_jcr_content/contentPar/downloadlist_1/downloaditems/669_1439199068886.spooler.download.1506933413175.pdf/BerichtigteSteuerkraft_Mitteilungsliste.pdf,232,3354,6.92%,8.06
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/wohnungsbestand_bautaetigkeit.html,219,2451,8.94%,8.49
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/sozialhilfestatistik.html,219,1393,15.72%,5.87
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2017_03_ImmoVerk.pdf.spooler.download.1488961861644.pdf/si_2017_03_ImmoVerk.pdf,218,2468,8.83%,9.51
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerungsbewegungen.html,186,3202,5.81%,5.73
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/bevoelkerungsstatistik.html,180,7583,2.37%,7.96
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/_jcr_content/contentPar/downloadlist_1/downloaditems/668_1439198560917.spooler.download.1504245459380.pdf/Steuerkraft_Mitteilungsliste.pdf,174,1633,10.66%,8.63
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/verkehr.html,166,4299,3.86%,8.94
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2013/leben_ohne_auto.html,164,3233,5.07%,15.8
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/haushalte.html,160,1488,10.75%,7.35
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2010-260.html,160,774,20.67%,3.86
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerung/_jcr_content/contentPar/downloadlist_4/downloaditems/bev_lkerung_nach_gem.spooler.download.1524123999945.xlsx/BEV2017_GemeindenZH_Total_Zeitreihe1960ff.xlsx,158,3231,4.89%,7.9
https://statistik.zh.ch/abstimmungsarchiv,154,8884,1.73%,3.84
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/airbnb2017.html,153,10239,1.49%,12.58
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/soziales.html,152,1937,7.85%,5.74
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2018/Termin2019.html,151,2831,5.33%,4.59
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2016/lohnstudie.html,151,1504,10.04%,6.21
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns.html,150,11503,1.3%,1.92
https://statistik.zh.ch/internet/justiz_inneres/statistik/fr/wahlen_abstimmungen.html,149,593,25.13%,3.86
https://statistik.zh.ch/motorisierung,145,1799,8.06%,8.14
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2004_02_bodenpreise.pdf.spooler.download.1326986165556.pdf/si_2004_02_bodenpreise.pdf,141,984,14.33%,6.21
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/Termine18.html,139,3559,3.91%,4.68
https://statistik.zh.ch/benchmarking,134,6455,2.08%,6.02
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/finanzausgleich.html,133,1603,8.3%,3.71
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_arbeit_wirtschaft/pendler.html,132,1449,9.11%,5.49
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist/downloaditems/164_1522993321075.spooler.download.1491545662559.pdf/jb_17_total.pdf,131,3447,3.8%,9.64
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/metadaten/gefis.html,131,1077,12.16%,5.58
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/umwelt.html,127,1201,10.57%,7.9
https://statistik.zh.ch/gemeindefinanzen,123,1242,9.9%,3.79
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2012_05_konfessionen.pdf.spooler.download.1392817776023.pdf/si_2012_05_konfessionen.pdf,121,3115,3.88%,12.25
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/newsstat/archiv/newsstat107/_jcr_content/contentPar/downloadlist_1/downloaditems/publikation.spooler.download.1463488383777.pdf/zhiz2016.pdf,121,2120,5.71%,7.8
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2010_09_wer_waehlt_wen.pdf.spooler.download.1510053362702.pdf/si_2010_09_wer_waehlt_wen.pdf,120,2350,5.11%,10.65
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns/organisation/mitarbeitende/mazenauer.html,120,693,17.32%,4.53
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/soziales/_jcr_content/contentPar/downloadlist/downloaditems/260_1321522186395.spooler.download.1300120101009.pdf/sozialbericht_2004.pdf,118,2026,5.82%,12.72
https://statistik.zh.ch/internet/justiz_inneres/statistik/en/home.html,116,1643,7.06%,19.94
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2012_10_sterbestatistik.pdf.spooler.download.1394634864286.pdf/si_2012_10_sterbestatistik.pdf,113,7356,1.54%,12.53
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/befragungen/laufende_befragungen.html,112,1338,8.37%,2.5
https://statistik.zh.ch/content/dam/justiz_innern/statistik/Publikationen/Spezialpublikationen/gesamtverkehrsmodell_kanton_zuerich_2011.pdf,110,1568,7.02%,10.83
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_politik.html,108,1414,7.64%,5.08
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/interaktives.html,106,4014,2.64%,12.28
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/themen.html,105,7242,1.45%,2.58
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/Raeumliche_Daten/Interaktive_Karten.html,104,1566,6.64%,10.74
https://statistik.zh.ch/praktika,104,410,25.37%,15.32
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch/_jcr_content/contentPar/downloadlist_0/downloaditems/statistisches_jahrbu.spooler.download.1491545662559.pdf/jb_17_total.pdf,103,3321,3.1%,11.46
https://statistik.zh.ch/statistikinfo,103,2969,3.47%,10.4
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/befragungen/laufende_befragungen/limmattal.html,102,426,23.94%,4.64
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2007_06_zuercher_gastgewerbe.pdf.spooler.download.1326986326580.pdf/si_2007_06_zuercher_gastgewerbe.pdf,98,660,14.85%,6.24
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/statent_2015.html,97,1737,5.58%,10.65
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/opendata.html,96,2798,3.43%,8.06
https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/Raeumliche_Daten/Basiskarten.html,90,5075,1.77%,4.46
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_11_lebensmittelpreise.pdf.spooler.download.1326986095688.pdf/si_2003_11_lebensmittelpreise.pdf,90,2795,3.22%,25.97
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2003_17_wetter.pdf.spooler.download.1326986133227.pdf/si_2003_17_wetter.pdf,89,2521,3.53%,19.59
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2002_10_praemienverbilligung.pdf.spooler.download.1392889218802.pdf/si_2002_10_praemienverbilligung.pdf,88,2360,3.73%,7.63
https://statistik.zh.ch/dam/justiz_innern/statistik/Publikationen/statistik_info/si_2004_03_arbeitszeit.pdf.spooler.download.1326986170679.pdf/si_2004_03_arbeitszeit.pdf,88,1775,4.96%,10.94
