Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit,Metadaten: url,Metadaten: segment
/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/gemeindesteuerfuesse.html,50726,65384,3740263,92,58334,0.001,275.691,20404,33678,1564874,15516,41697,46924,18452,38297,57,76%,82%,0.105,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern/gemeindesteuerfuesse.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_oeffentliche_finanzen%2Fgemeindesteuern%2Fgemeindesteuerfuesse.html
/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern.html,40083,59923,1606360,117,52679,0.001,46.061,36438,113105,4020356,3805,13513,38677,35317,13054,27,10%,34%,0.096,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_oeffentliche_finanzen/gemeindesteuern.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_oeffentliche_finanzen%2Fgemeindesteuern.html
/internet/justiz_inneres/statistik/de/home.html,23740,32267,1500538,450,29416,0.001,24.801,19571,103346,5148668,5740,8918,22068,18331,8470,47,29%,38%,0.064,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/home.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fhome.html
/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html,18725,23434,2193207,54,21601,0.001,326.103,7938,14739,990935,6014,13663,17452,7448,12742,94,76%,73%,0.101,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/gemeindeportraet_kanton_zuerich.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fgemeindeportraet_kanton_zuerich.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/bodenpreise.html,15053,20087,1999696,305,17762,0.001,28.884,6267,14252,1019433,4067,11447,14000,5821,10705,100,65%,76%,0.111,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/bodenpreise.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt%2Fbodenpreise.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt.html,12447,20467,1079398,121,17415,0.001,14.56,8677,35217,1969994,2046,4716,11896,8426,4587,53,24%,38%,0.117,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt.html
/internet/justiz_inneres/statistik/de/daten.html,11523,16943,383426,82,14853,0.001,13.417,2052,11953,668530,437,1329,10659,1942,1278,23,21%,12%,0.098,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten.html
/internet/justiz_inneres/statistik/de/wahlen_abstimmungen.html,11247,12673,672131,37,12063,0.001,13.902,9572,20580,599876,2452,10218,10731,9158,9765,53,26%,91%,0.16,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/wahlen_abstimmungen.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fwahlen_abstimmungen.html
/internet/justiz_inneres/statistik/de/interaktives/vornamen.html,5480,7683,581069,112,7203,0.001,40.103,5227,9159,582492,3884,5077,5110,4882,4730,76,74%,93%,0.316,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/interaktives/vornamen.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Finteraktives%2Fvornamen.html
/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2016/boden_webtool.html,4551,5104,190544,26,4848,0.001,57.008,3029,9634,494875,904,1561,4419,2969,1523,37,30%,34%,0.444,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2016/boden_webtool.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Faktuell%2Fmitteilungen%2F2016%2Fboden_webtool.html
/internet/justiz_inneres/statistik/de/themen/zhiz.html,4508,6116,401899,19,5339,0.001,39.94,3575,11361,535539,1294,3105,4411,3505,3040,66,36%,69%,0.359,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/zhiz.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fthemen%2Fzhiz.html
/internet/justiz_inneres/statistik/de/interaktives.html,3506,4748,87226,34,4182,0.001,50.412,376,1317,76512,124,533,3380,354,515,18,33%,15%,0.322,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/interaktives.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Finteraktives.html
/internet/justiz_inneres/statistik/de/aktuell.html,3414,4898,85740,21,2619,0.001,77.072,1764,3041,42436,1112,1978,3325,1735,1950,18,63%,58%,0.259,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Faktuell.html
/internet/justiz_inneres/statistik/de/themen/bevoelkerung_soziales.html,3405,4652,141495,49,4110,0.001,19.652,1453,6225,267477,457,965,3339,1440,952,30,31%,28%,0.41,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/bevoelkerung_soziales.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fthemen%2Fbevoelkerung_soziales.html
/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerung.html,3059,4231,432485,71,3665,0.001,30.355,1011,4039,212536,285,1553,2937,982,1499,102,28%,51%,0.445,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/bevoelkerung.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_bevoelkerung_soziales%2Fbevoelkerung.html
/internet/justiz_inneres/statistik/de/interaktives/armut.html,2865,3944,459915,20,3691,0.001,154.499,2741,4919,482731,1887,2583,2432,2323,2173,117,69%,90%,0.448,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/interaktives/armut.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Finteraktives%2Farmut.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/zentrale_lagen.html,2689,3739,374821,3,3188,0.001,12.778,165,464,31624,62,1088,2606,160,1060,100,38%,40%,0.423,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/zentrale_lagen.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt%2Fzentrale_lagen.html
/internet/justiz_inneres/statistik/de/themen.html,2665,3616,62826,28,3168,0.001,14.778,196,1239,59523,57,219,2583,193,216,17,29%,8%,0.358,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/themen.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fthemen.html
/internet/justiz_inneres/statistik/de/daten/finanzportraet.html,2428,3050,329787,16,2802,0.001,18.585,895,2124,144490,583,1558,2299,846,1491,108,65%,64%,0.418,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/finanzportraet.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Ffinanzportraet.html
/internet/justiz_inneres/statistik/de/themen/immobilien_raum.html,2347,3321,116202,30,2913,0.001,14.626,731,3669,206239,185,467,2284,715,457,35,25%,20%,0.508,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/themen/immobilien_raum.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fthemen%2Fimmobilien_raum.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum.html,1938,2453,43469,4,2197,0.001,19.357,210,859,48449,55,123,1834,199,122,18,26%,6%,0.435,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum.html
/internet/justiz_inneres/statistik/de/ueber_uns.html,1808,2215,90586,7,2010,0.001,5.744,176,665,26889,78,444,1764,169,434,41,44%,25%,0.442,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/ueber_uns.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fueber_uns.html
/internet/justiz_inneres/statistik/de/daten/tabellen.html?tbname=D3-501,1786,1947,61685,1,1769,0.001,16.687,24,48,2014,16,422,1771,24,418,32,67%,24%,1.619,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/tabellen.html?tbname=D3-501,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Ftabellen.html%3Ftbname%3DD3-501
/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales.html,1677,2120,45596,12,1920,0.001,43.628,93,557,26691,18,94,1620,87,92,22,19%,6%,0.49,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_bevoelkerung_soziales.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/efhpreise.html,1637,2191,250325,6,1935,0.001,49.382,193,422,23297,143,731,1571,174,697,114,74%,45%,0.71,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/efhpreise.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt%2Fefhpreise.html
/internet/justiz_inneres/statistik/de/daten/jahrbuch.html,1591,2233,250735,16,1902,0.001,14.206,611,2328,142109,154,957,1548,595,938,112,25%,60%,0.54,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/jahrbuch.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fjahrbuch.html
/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/boden_webtool.html,1515,2040,125630,13,1779,0.001,14.068,783,3536,182090,118,432,1461,758,422,62,15%,29%,0.632,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/boden_webtool.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Faktuell%2Fmitteilungen%2F2017%2Fboden_webtool.html
/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/einkommen_vermoegen.html,1373,1878,100377,19,1703,0.001,27.082,1078,3629,142662,336,716,1335,1055,703,53,31%,52%,0.748,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/einkommen_vermoegen.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_bevoelkerung_soziales%2Feinkommen_vermoegen.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/bodenpreise_faq.html,1347,1666,160120,77,1447,0.001,14.109,90,266,17352,49,518,1303,84,503,96,54%,38%,0.632,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/bodenpreise_faq.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt%2Fbodenpreise_faq.html
/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/konfession.html,1258,1601,112540,33,1517,0.001,16.708,1029,2746,109743,495,977,1223,996,949,70,48%,78%,0.896,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_bevoelkerung_soziales/konfession.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_bevoelkerung_soziales%2Fkonfession.html
/internet/justiz_inneres/statistik/de/daten/tabellen.html,1212,1588,200176,5,1464,0.001,13.335,117,390,22794,66,494,1154,113,470,126,56%,41%,0.583,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/tabellen.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Ftabellen.html
/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/ewhpreise.html,1192,1599,168825,4,1406,0.001,8.787,222,513,45300,143,619,1119,200,576,106,64%,52%,0.629,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/daten/daten_immobilien_raum/immomarkt/ewhpreise.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fdaten%2Fdaten_immobilien_raum%2Fimmomarkt%2Fewhpreise.html
/internet/justiz_inneres/statistik/de/aktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2018-zuercher_45_bevoelkerung_45_waechst_45_etwas_45_langsamer.html,1119,1333,119478,3,1180,0.001,12.554,94,228,16461,62,419,1085,90,402,90,66%,37%,0.656,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2018-zuercher_45_bevoelkerung_45_waechst_45_etwas_45_langsamer.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Faktuell.newsextern.-internet-de-aktuell-news-medienmitteilungen-2018-zuercher_45_bevoelkerung_45_waechst_45_etwas_45_langsamer.html
/internet/justiz_inneres/statistik/de/befragungen/laufende_befragungen/ende_befragung.html,1101,2226,282316,,1995,0.001,11.944,246,1645,212023,133,994,1027,206,940,127,54%,90%,0.222,http://www.statistik.zh.ch/internet/justiz_inneres/statistik/de/befragungen/laufende_befragungen/ende_befragung.html,pageUrl==http%3A%2F%2Fwww.statistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Fbefragungen%2Flaufende_befragungen%2Fende_befragung.html
/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/Leerwohnungszaehlung.html,1070,1361,133882,5,1244,0.001,110.847,892,2202,127103,464,839,1033,867,814,98,52%,78%,0.832,https://statistik.zh.ch/internet/justiz_inneres/statistik/de/aktuell/mitteilungen/2017/Leerwohnungszaehlung.html,pageUrl==https%3A%2F%2Fstatistik.zh.ch%2Finternet%2Fjustiz_inneres%2Fstatistik%2Fde%2Faktuell%2Fmitteilungen%2F2017%2FLeerwohnungszaehlung.html
