Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit,Metadaten: url,Metadaten: segment
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810061t.html,1673,1812,71542,1,1702,0.001,5.664,872,1295,74479,774,1124,1584,836,1055,39,89%,67%,0.131,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810061t.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810061t.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810142h.html,1391,2092,90404,1,1816,0.001,20.832,652,999,29983,506,937,1342,627,903,43,78%,67%,0.097,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810142h.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810142h.html
/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/ausbildung_laufbahn.html,1390,1816,133413,7,1654,0.001,10.758,599,2126,123040,223,559,1299,556,516,73,37%,40%,0.122,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/ausbildung_laufbahn.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fberufsbild_polizist%2Fausbildung_laufbahn.html
/internet/sicherheitsdirektion/kapo/de/service/nav/service/kontakt.html,1355,1772,90876,28,1589,0.001,18.396,495,1371,72780,282,695,1290,473,657,51,57%,51%,0.119,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/service/nav/service/kontakt.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fservice%2Fnav%2Fservice%2Fkontakt.html
/internet/sicherheitsdirektion/kapo/de/faq/strassenverkehr/verkehrsbussen.html,1334,1610,87039,9,1524,0.001,5.093,1281,2687,102393,504,1207,1290,1239,1166,54,39%,90%,0.114,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/strassenverkehr/verkehrsbussen.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Ffaq%2Fstrassenverkehr%2Fverkehrsbussen.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810062t.html,1316,1530,72219,,1449,0.001,8.913,695,1015,35194,572,860,1212,630,780,47,82%,65%,0.151,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810062t.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810062t.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/suche.html,1277,1653,22734,2,1482,0.001,2.9,41,97,3818,27,262,1236,39,251,14,66%,21%,0.126,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/suche.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2Fsuche.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/ - Andere,1241,1809,34260,1,1496,0.001,18.029,34,175,2805,18,152,30,,3,19,53%,12%,1.283,,
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810021r.html,1208,1697,90395,2,1484,0.001,9.135,446,682,26429,340,767,1165,433,739,53,76%,63%,0.103,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810021r.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810021r.html
/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/anforderungen.html,1206,1445,60931,3,1321,0.001,7.86,320,576,28826,247,500,1145,291,466,42,77%,41%,0.113,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/anforderungen.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fberufsbild_polizist%2Fanforderungen.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810121x.html,1194,2811,112594,,2205,0.001,13.426,642,2001,51156,365,889,1122,612,841,40,57%,74%,0.086,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810121x.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810121x.html
/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/info.html,1146,1497,105318,2,1340,0.001,14.604,383,972,56446,226,568,1046,346,510,70,59%,50%,0.145,http://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/info.html,pageUrl==http%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Fjobs%2Fberufsbild_polizist%2Finfo.html
/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810181o.html,1071,1545,73568,,1340,0.001,2.642,422,654,23110,321,717,998,392,663,48,76%,67%,0.084,https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810181o.html,pageUrl==https%3A%2F%2Fwww.kapo.zh.ch%2Finternet%2Fsicherheitsdirektion%2Fkapo%2Fde%2Faktuell%2Fmedienmitteilungen%2F2018_10%2F1810181o.html
