Seite,Klicks,Impressionen,CTR,Position
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell.html,15287,199329,7.67%,5.87
https://www.kapo.zh.ch/,7600,41171,18.46%,4.76
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen.html,7430,71734,10.36%,2.93
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/strassenverkehr/verkehrsbussen.html,3662,40778,8.98%,7.56
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf.html,3235,27592,11.72%,9.21
https://www.kapo.zh.ch/jobs,2112,28373,7.44%,3.77
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/ausbildung_laufbahn.html,1879,26133,7.19%,4.1
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist.html,1543,29608,5.21%,3.11
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/service/nav/service/kontakt.html,1390,34597,4.02%,3.44
https://www.kapo.zh.ch/content/dam/sicherheitsdirektion/kapo/praevention/kji/dokumente/pdf/kindersitz.pdf,1356,21769,6.23%,13.71
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/vermisst.html,1226,29639,4.14%,3.97
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/offenestellen.html,1210,13867,8.73%,6.07
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/waffen.html,1135,12368,9.18%,11.76
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/epolice.html,1106,13973,7.92%,6.59
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/anforderungen.html,974,8653,11.26%,5.59
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/info.html,884,9674,9.14%,6.13
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org/fp.html,742,6714,11.05%,11.29
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/kriminalmuseum.html,647,4868,13.29%,10.48
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org/kripo.html,638,4326,14.75%,4.93
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_gk.html,611,8129,7.52%,5.53
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/info.html,539,9449,5.7%,6.09
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_pga.html,534,4417,12.09%,4.15
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/sturmwarnung.html,531,16175,3.28%,4.55
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_09/1809171h.html,524,2243,23.36%,6.33
"https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/jiv/schwerpunkt/internet_handy/_jcr_content/contentPar/downloadlist/downloaditems/mobbing_informations.spooler.download.1510561027527.pdf/Mobbing 
Leitfaden 2017.pdf",502,7628,6.58%,15.15
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/zahlen_fakten/statistiken2.html,459,3133,14.65%,8.15
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/kji/zielgruppen1/velopruefung.html,405,3920,10.33%,10.84
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/winterthur/station1.html,382,12262,3.12%,5.76
https://www.kapo.zh.ch/cybercrime,362,2526,14.33%,7.03
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/zuerich.html,360,38078,0.95%,3.06
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/service/nav/service/medien.html,336,2851,11.79%,4.44
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810061t.html,323,2740,11.79%,6.78
https://www.kapo.zh.ch/dam/sicherheitsdirektion/kapo/publikationen/print/factsheet/Factsheet_Wald.pdf.spooler.download.1393491527522.pdf/Factsheet_Wald.pdf,301,3175,9.48%,11.17
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/zur_zeit_keine_bewerbung.html,299,3489,8.57%,2.19
https://www.kapo.zh.ch/bussen,288,2941,9.79%,5.82
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810121x.html,282,3715,7.59%,7.34
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/forms/kapo_kontakt1.html,277,1306,21.21%,6.49
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention.html,238,5829,4.08%,4.95
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns.html,237,25682,0.92%,3.3
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org/kripo/organisation_kripo.html,236,2138,11.04%,5.77
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte.html,230,11454,2.01%,2.96
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/gewaltschutz.html,227,2242,10.12%,8.43
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/kriminal/stalking.html,220,2875,7.65%,15.31
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/affoltern/station.html,220,2755,7.99%,6.31
https://www.kapo.zh.ch/seepolizei,219,2006,10.92%,13.36
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/fachbeitraege/2018/180208_privatparkplatz.html,213,2433,8.75%,10.3
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org/vp.html,210,2376,8.84%,5.28
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/flughafen.html,206,5598,3.68%,13.35
"https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/_jcr_content/contentPar/morethemes/morethemesitems/informationen_zum_sp.spooler.download.1410255791546.pdf/Broschüre 
SportTests ZHPS_September_2014.pdf",205,2054,9.98%,7.79
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/buelach/station1.html,200,2808,7.12%,3.87
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/strassenverkehr/tipps_fragen.html,198,2321,8.53%,12.42
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/ausbildung.html,197,6699,2.94%,2.78
https://www.kapo.zh.ch/ziviljobs,190,3562,5.33%,5.55
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/sicherheitsberatung.html,180,1972,9.13%,16.56
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/berufsbild_polizist/_jcr_content/contentPar/downloadlist/downloaditems/brosch_re_wir_machen.spooler.download.1502969578402.pdf/infobroschuere.pdf,175,2119,8.26%,10.47
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/gewaltschutz/haeuslichegewalt.html,175,1745,10.03%,7.76
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/anforderungen.html,171,6633,2.58%,2.43
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/kommandant.html,164,4305,3.81%,9.7
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org.html,164,1695,9.68%,5.12
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_pga/ausbildung.html,158,1555,10.16%,5.72
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810062t.html,152,714,21.29%,5.8
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/seepo.html,150,2280,6.58%,15.34
https://www.kapo.zh.ch/dam/sicherheitsdirektion/kapo/publikationen/print/kapo/geschaeftsbericht_aktuell/geschaeftsbericht_2017.pdf.spooler.download.1527082268057.pdf/geschaeftsbericht_2017.pdf,149,2276,6.55%,8.12
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/dielsdorf/station1.html,143,1611,8.88%,4.65
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/pfaeffikon.html,141,1913,7.37%,4.9
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/_jcr_content/contentPar/morethemes/morethemesitems/informationsbrosch_r.spooler.download.1516890713148.pdf/infobroschuere.pdf,140,2170,6.45%,5.26
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/winterthur.html,135,2974,4.54%,3.88
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/uster/station2.html,134,3165,4.23%,5.35
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/faq/strassenverkehr/raser.html,133,2851,4.67%,8.62
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/fuehrung/vlz.html,127,724,17.54%,4.55
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/jiv/schwerpunkt/drogen.html,122,4449,2.74%,12.05
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/dietikon/station1.html,120,2457,4.88%,4.62
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/lehre.html,120,2066,5.81%,14.97
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/org/sipo.html,119,2050,5.8%,6.4
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_09/1809301h.html,113,1484,7.61%,8.56
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/andelfingen/station.html,113,1258,8.98%,8.05
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/fachbeitraege/2018/180529_vzn.html,107,1312,8.16%,6.71
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/kji/zielgruppen1/kindergarten.html,105,1129,9.3%,12.55
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/fuehrung.html,105,565,18.58%,5.78
https://www.kapo.zh.ch/content/dam/sicherheitsdirektion/kapo/faq/liste_bew_vd.pdf,104,2036,5.11%,14.83
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/hinwil/station1.html,104,897,11.59%,3.49
https://www.kapo.zh.ch/atb,102,825,12.36%,7.15
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/fachstelle/for.html,101,6475,1.56%,3.07
https://www.kapo.zh.ch/content/dam/sicherheitsdirektion/kapo/praevention/kji/dokumente/pdf/kinder_auf_dem_schulweg.pdf,97,1303,7.44%,13.37
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/zahlen_fakten/statistiken1.html,96,1391,6.9%,9.41
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sz_gk/info.html,94,1278,7.36%,6.42
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/horgen/station3.html,93,1381,6.73%,4.05
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/medienmitteilungen/2018_10/1810121h.html,92,762,12.07%,4.31
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/verkehrszuege/verkehrszug1.html,91,1198,7.6%,5.14
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/jobs/sbf/bewerbung.html,89,4755,1.87%,2.75
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/kji/zielgruppen1/kindergarten/ferox-einsatzmittel.html,88,748,11.76%,10.64
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/jiv/das_team/bezirke.html,87,1498,5.81%,2.88
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/aktuell/zeugenaufrufe.html,86,19202,0.45%,3.03
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/zuerich/station1.html,86,7655,1.12%,7.84
"https://www.kapo.zh.ch/content/dam/sicherheitsdirektion/kapo/praevention/kji/dokumente/strecken_velopruefung/stäfa 
veloprüfung streckenplan.pdf",86,214,40.19%,2.82
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/meilen/station2.html,85,2276,3.73%,4.93
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/hinwil.html,83,2134,3.89%,4.23
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/ueber_uns/standorte/verkehrszuege/verkehrszug.html,83,1607,5.16%,7.57
https://www.kapo.zh.ch/internet/sicherheitsdirektion/kapo/de/praevention/kji/ueberuns1/team.html,82,936,8.76%,5.62
