Bezeichnung,Eindeutige Seitenansichten,Seitenansichten,Von Besuchern verbrachte Gesamtzeit (in Sekunden),In den Suchergebnissen angeklickt,nb_hits_with_time_generation,min_time_generation,max_time_generation,Eingänge,Aktionen nach Eingang hier,Von Besuchern verbrachte Gesamtzeit (in Sekunden) nach Eingang hier,Absprünge,Ausstiege,Eindeutige Besucher (Tagessumme),Eindeutige Einstiege (Tagessumme),Eindeutige Ausstiege (Tagessumme),Durchschnittszeit pro Seite,Absprungsrate,Ausstiegsrate,Durchschnittliche Generierungszeit
Sicherheitsassistenz Grenzkontrolle,1256,3283,99769,3,2848,0.001,4.984,442,1771,68944,183,550,1181,399,501,30,41%,44%,0.164
Sicherheitsassistenz Polizeigefängnis,1240,2980,125362,2,2642,0.001,75.232,560,1936,108090,272,600,1123,471,498,42,49%,48%,0.229
Dietlikon: Velofahrerin nach Verkehrsunfall verstorben - Zeugenaufruf,1205,1694,88994,2,1484,0.001,9.135,444,677,26298,339,765,1162,432,737,53,76%,63%,0.103
Seuzach: Brand eines landwirtschaftlichen Betriebsgebäudes,1192,2809,112594,,2205,0.001,13.426,639,1995,51134,363,887,1120,609,839,40,57%,74%,0.086
Über uns,1083,1579,67432,7,1355,0.001,8.019,99,497,14860,47,288,1054,94,276,43,47%,27%,0.078
Wald: Selbstunfall zieht komplizierte Rettungsaktion nach sich,1068,2609,102546,,1967,0.001,3.658,400,1179,33133,241,635,1015,376,592,39,60%,59%,0.061
Wald: Zwei Verletzte bei Verkehrsunfall - Zeugenaufruf,1068,1540,73532,,1340,0.001,2.642,419,649,23072,320,714,995,389,660,48,76%,67%,0.084
Vermisste Personen,1059,1619,70188,7,1368,0.001,4.718,432,1335,49486,196,431,1012,400,397,43,45%,41%,0.117
Online-Polizeiposten,1026,1237,77722,24,1131,0.001,180.534,533,1331,55614,178,574,1003,523,562,63,33%,56%,0.283
Pfäffikon: Bewaffneter Raubüberfall - Zeugenaufruf,1026,1172,43568,,1115,0.001,8.513,557,721,22878,486,682,979,528,650,37,87%,66%,0.117
Zivile Anstellungen,954,1235,69653,3,1096,0.001,7.23,193,588,20763,86,382,939,191,377,56,45%,40%,0.107
Gossau: Verkehrsunfall fordert Schwerverletzten,928,2159,68589,,1591,0.001,16.95,334,834,18157,210,458,903,324,443,32,63%,49%,0.108
Wallisellen: Vermisstmeldung – Peter BERTA,840,1042,35859,1,904,0.001,4.737,328,429,9647,284,516,801,320,493,34,87%,61%,0.098
Wädenswil sowie Autobahn A3 Richterswil - Lachen - Horgen: Personenwagenlenker verursacht mehrere Kollisionen - Zeugenaufruf,813,897,28134,,855,0.001,2.673,358,424,5043,330,489,801,354,481,31,92%,60%,0.086
Volketswil: Verkehrsunfall fordert Verletzten - Zeugenaufruf,745,981,33909,,884,0.001,6.941,382,517,9019,329,529,732,377,522,35,86%,71%,0.13
Dübendorf: Revokation Vermisstmeldung,710,854,18288,1,774,0.001,2.174,145,395,5459,82,257,702,145,255,21,57%,36%,0.08
Hinwil: Falschfahrer im Betzholzkreisel gestoppt,710,774,29688,,738,0.001,6.573,212,297,9251,186,355,702,211,350,38,88%,50%,0.108
Bahnhof Oberglatt: Verwirrter Mann verursacht Nothalt der S9,703,795,30423,,751,0.001,17.214,316,350,4863,293,416,696,311,410,38,93%,59%,0.131
